,state,tot_cases,new_case,tot_death
544,NH,54125,977.0,885
545,MD,130159,734.0,3990
546,MP,104,0.0,2
547,ME,9117,173.0,165
548,OH,918079,3549.0,11652
549,OK,252397,11771.0,2156
550,LA,409861,0.0,9076
551,WY,43704,504.0,405
552,KS,290832,2115.0,4614
553,MI,165994,1871.0,7383
554,VA,367536,3771.0,5132
555,OR,17721,305.0,311
556,AZ,0,0.0,0
557,AZ,179497,1030.0,3779
558,RI,16459,122.0,903
559,AZ,727895,5321.0,12239
560,MO,473459,718.0,7695
561,NE,111661,2381.0,897
562,AK,412,1.0,10
563,KY,30151,765.0,735
564,RMI,0,0.0,0
565,NE,0,0.0,0
566,CA,0,0.0,0
567,VT,3161,57.0,60
568,SC,457390,3495.0,7570
569,AR,292563,1707.0,4831
570,GU,2074,0.0,31
571,HI,607,0.0,16
572,UT,6,0.0,0
573,VT,2743,92.0,59
574,FL,374920,9676.0,5345
575,GU,7547,0.0,128
576,ID,14873,571.0,119
577,RI,31024,906.0,1184
578,RI,711,30.0,14
579,TX,1573888,17907.0,25226
580,UT,346,48.0,1
581,CO,422390,1096.0,5907
582,AL,78,27.0,0
583,LA,261329,2415.0,6724
584,CT,162782,0.0,5581
585,AK,52150,199.0,260
586,IN,36578,482.0,2258
587,UT,0,0.0,0
588,DC,12959,63.0,593
589,MP,37,0.0,2
590,FSM,0,0.0,0
591,AZ,198414,311.0,4771
592,GU,0,0.0,0
593,AL,8691,12.0,343
594,TN,260672,1184.0,3353
595,AR,31114,817.0,341
596,CT,278184,1493.0,7595
597,VI,576,29.0,9
598,ME,43900,164.0,677
599,NV,271897,990.0,4029
600,WV,9395,83.0,187
601,MS,202651,2326.0,4556
602,FL,31,0.0,2
603,NC,2870,285.0,33
604,IN,0,0.0,0
605,ME,33219,440.0,507
606,WV,10110,143.0,213
607,NE,193419,352.0,1968
608,MT,1593,24.0,28
609,NM,2072,101.0,65
610,AL,2006,165.0,32
611,HI,0,0.0,0
612,OK,3,1.0,0
613,NE,169000,738.0,1672
614,MO,43050,1123.0,1201
615,MO,162723,1854.0,2657
616,PR,0,0.0,0
617,AK,1323,51.0,17
618,CT,7,4.0,0
619,OK,15645,1428.0,398
620,WV,119467,905.0,2006
621,LA,420394,0.0,9325
622,AR,295268,881.0,4868
623,AZ,1,0.0,0
624,NV,54757,838.0,947
625,DE,3200,455.0,89
626,MT,0,0.0,0
627,AZ,221070,316.0,5707
628,WY,0,0.0,0
629,VA,242481,2417.0,4113
630,MT,445,1.0,14
631,MN,62296,457.0,1726
632,UT,162028,3071.0,740
633,ND,80135,480.0,966
634,MI,55104,223.0,5266
635,MP,113,0.0,2
636,RI,109735,0.0,2083
637,MA,385351,4358.0,12609
638,UT,52508,363.0,406
639,WV,13430,234.0,294
640,LA,322181,1123.0,7585
641,LA,58095,1014.0,3221
642,AZ,793532,2426.0,14834
643,VI,1405,15.0,23
644,CA,991609,6927.0,18108
645,NJ,178551,287.0,15672
646,MS,13458,206.0,635
647,OR,29484,147.0,511
648,MS,32214,957.0,1158
649,IN,613228,2189.0,9728
650,FSM,0,0.0,0
651,AS,0,0.0,0
652,AS,0,0.0,0
653,CO,20091,356.0,1006
654,RI,19611,130.0,1014
655,WY,53086,0.0,647
656,CO,228772,3489.0,3003
657,RI,111754,2019.0,2110
658,GU,0,0.0,0
659,KS,242322,0.0,3148
660,NY,195829,371.0,8910
661,MT,300,19.0,6
662,MD,114724,646.0,3828
663,MD,121800,503.0,3909
664,FSM,1,0.0,0
665,KY,32741,544.0,752
666,RMI,0,0.0,0
667,GU,332,2.0,5
668,CO,334097,3238.0,4814
669,NY,0,0.0,0
670,HI,646,1.0,17
671,MS,11704,272.0,555
672,MO,0,0.0,0
673,AS,3,0.0,0
674,AR,386,37.0,3
675,CA,10,2.0,0
676,ND,59173,1800.0,697
677,SC,0,0.0,0
678,PA,169308,1380.0,8308
679,NE,577,54.0,15
680,PW,0,0.0,0
681,WA,366,99.0,29
682,PA,0,0.0,0
